date,firm_id,equity_price
2020-01-02,AAPL,72.47
2020-01-03,AAPL,71.76
2020-01-06,AAPL,72.34
2020-01-07,AAPL,72.0
2020-01-08,AAPL,73.15
2020-01-09,AAPL,74.71
2020-01-10,AAPL,74.88
2020-01-13,AAPL,76.48
2020-01-14,AAPL,75.44
2020-01-15,AAPL,75.12
2020-01-16,AAPL,76.06
2020-01-17,AAPL,76.9
2020-01-21,AAPL,76.38
2020-01-22,AAPL,76.65
2020-01-23,AAPL,77.02
2020-01-24,AAPL,76.8
2020-01-27,AAPL,74.54
2020-01-28,AAPL,76.65
2020-01-29,AAPL,78.26
2020-01-30,AAPL,78.14
2020-01-31,AAPL,74.68
2020-02-03,AAPL,74.47
2020-02-04,AAPL,76.93
2020-02-05,AAPL,77.56
2020-02-06,AAPL,78.47
2020-02-07,AAPL,77.4
2020-02-10,AAPL,77.77
2020-02-11,AAPL,77.3
2020-02-12,AAPL,79.13
2020-02-13,AAPL,78.57
2020-02-14,AAPL,78.59
2020-02-18,AAPL,77.15
2020-02-19,AAPL,78.27
2020-02-20,AAPL,77.47
2020-02-21,AAPL,75.71
2020-02-24,AAPL,72.12
2020-02-25,AAPL,69.67
2020-02-26,AAPL,70.78
2020-02-27,AAPL,66.15
2020-02-28,AAPL,66.11
2020-03-02,AAPL,72.27
2020-03-03,AAPL,69.97
2020-03-04,AAPL,73.22
2020-03-05,AAPL,70.84
2020-03-06,AAPL,69.9
2020-03-09,AAPL,64.37
2020-03-10,AAPL,69.01
2020-03-11,AAPL,66.61
2020-03-12,AAPL,60.03
2020-03-13,AAPL,67.23
2020-03-16,AAPL,58.58
2020-03-17,AAPL,61.15
2020-03-18,AAPL,59.66
2020-03-19,AAPL,59.2
2020-03-20,AAPL,55.44
2020-03-23,AAPL,54.26
2020-03-24,AAPL,59.71
2020-03-25,AAPL,59.38
2020-03-26,AAPL,62.5
2020-03-27,AAPL,59.92
2020-03-30,AAPL,61.63
2020-03-31,AAPL,61.5
2020-04-01,AAPL,58.26
2020-04-02,AAPL,59.24
2020-04-03,AAPL,58.39
2020-04-06,AAPL,63.48
2020-04-07,AAPL,62.74
2020-04-08,AAPL,64.35
2020-04-09,AAPL,64.81
2020-04-13,AAPL,66.09
2020-04-14,AAPL,69.42
2020-04-15,AAPL,68.79
2020-04-16,AAPL,69.34
2020-04-17,AAPL,68.4
2020-04-20,AAPL,66.98
2020-04-21,AAPL,64.91
2020-04-22,AAPL,66.78
2020-04-23,AAPL,66.52
2020-04-24,AAPL,68.44
2020-04-27,AAPL,68.49
2020-04-28,AAPL,67.38
2020-04-29,AAPL,69.59
2020-04-30,AAPL,71.06
2020-05-01,AAPL,69.91
2020-05-04,AAPL,70.9
2020-05-05,AAPL,71.97
2020-05-06,AAPL,72.71
2020-05-07,AAPL,73.46
2020-05-08,AAPL,75.21
2020-05-11,AAPL,76.39
2020-05-12,AAPL,75.52
2020-05-13,AAPL,74.61
2020-05-14,AAPL,75.07
2020-05-15,AAPL,74.62
2020-05-18,AAPL,76.38
2020-05-19,AAPL,75.94
2020-05-20,AAPL,77.42
2020-05-21,AAPL,76.84
2020-05-22,AAPL,77.33
2020-05-26,AAPL,76.81
2020-05-27,AAPL,77.14
2020-05-28,AAPL,77.18
2020-05-29,AAPL,77.1
2020-06-01,AAPL,78.05
2020-06-02,AAPL,78.41
2020-06-03,AAPL,78.84
2020-06-04,AAPL,78.16
2020-06-05,AAPL,80.39
2020-06-08,AAPL,80.87
2020-06-09,AAPL,83.42
2020-06-10,AAPL,85.57
2020-06-11,AAPL,81.46
2020-06-12,AAPL,82.16
2020-06-15,AAPL,83.18
2020-06-16,AAPL,85.38
2020-06-17,AAPL,85.26
2020-06-18,AAPL,85.3
2020-06-19,AAPL,84.81
2020-06-22,AAPL,87.03
2020-06-23,AAPL,88.89
2020-06-24,AAPL,87.32
2020-06-25,AAPL,88.48
2020-06-26,AAPL,85.76
2020-06-29,AAPL,87.73
2020-06-30,AAPL,88.47
2020-07-01,AAPL,88.3
2020-07-02,AAPL,88.3
2020-07-06,AAPL,90.66
2020-07-07,AAPL,90.38
2020-07-08,AAPL,92.48
2020-07-09,AAPL,92.88
2020-07-10,AAPL,93.04
2020-07-13,AAPL,92.62
